PPM , 0.890 , 0.737 , 0.560 , 3.262 , 11.573 , 2.647 , 09-02-2021 17:44:12
PPM , 0.890 , 0.739 , 0.563 , 3.229 , 11.530 , 2.615 , 09-02-2021 17:44:22
PPM , 0.890 , 0.743 , 0.569 , 3.229 , 11.553 , 2.615 , 09-02-2021 17:44:31
PPM , 0.890 , 0.747 , 0.574 , 3.237 , 11.550 , 2.622 , 09-02-2021 17:44:40
PPM , 0.890 , 0.747 , 0.575 , 3.222 , 11.522 , 2.608 , 09-02-2021 17:44:49
PPM , 0.890 , 0.747 , 0.574 , 3.171 , 11.408 , 2.558 , 09-02-2021 17:44:59
PPM , 0.890 , 0.751 , 0.581 , 3.240 , 11.526 , 2.626 , 09-02-2021 17:45:08
PPM , 0.890 , 0.755 , 0.587 , 3.240 , 11.553 , 2.626 , 09-02-2021 17:45:17
PPM , 0.890 , 0.754 , 0.584 , 3.215 , 11.502 , 2.601 , 09-02-2021 17:45:26
PPM , 0.890 , 0.755 , 0.587 , 3.233 , 11.510 , 2.619 , 09-02-2021 17:45:36
PPM , 0.889 , 0.751 , 0.581 , 3.197 , 11.479 , 2.583 , 09-02-2021 17:45:45
PPM , 0.889 , 0.752 , 0.581 , 3.215 , 11.483 , 2.601 , 09-02-2021 17:45:54
PPM , 0.889 , 0.751 , 0.581 , 3.189 , 11.392 , 2.576 , 09-02-2021 17:46:03
PPM , 0.889 , 0.755 , 0.587 , 3.204 , 11.483 , 2.590 , 09-02-2021 17:46:13
PPM , 0.890 , 0.759 , 0.592 , 3.237 , 11.534 , 2.622 , 09-02-2021 17:46:22
PPM , 0.890 , 0.755 , 0.587 , 3.197 , 11.490 , 2.583 , 09-02-2021 17:46:32
PPM , 0.890 , 0.760 , 0.593 , 3.218 , 11.475 , 2.604 , 09-02-2021 17:46:41
PPM , 0.890 , 0.760 , 0.593 , 3.218 , 11.490 , 2.604 , 09-02-2021 17:46:50
PPM , 0.889 , 0.755 , 0.586 , 3.182 , 11.389 , 2.569 , 09-02-2021 17:46:59
PPM , 0.890 , 0.760 , 0.593 , 3.222 , 11.494 , 2.608 , 09-02-2021 17:47:08
PPM , 0.890 , 0.762 , 0.597 , 3.222 , 11.534 , 2.608 , 09-02-2021 17:47:18
PPM , 0.890 , 0.764 , 0.599 , 3.218 , 11.542 , 2.604 , 09-02-2021 17:47:27
PPM , 0.890 , 0.762 , 0.596 , 3.211 , 11.534 , 2.597 , 09-02-2021 17:47:36
PPM , 0.890 , 0.768 , 0.606 , 3.240 , 11.538 , 2.626 , 09-02-2021 17:47:45
PPM , 0.890 , 0.768 , 0.606 , 3.226 , 11.557 , 2.611 , 09-02-2021 17:47:55
PPM , 0.889 , 0.763 , 0.598 , 3.211 , 11.506 , 2.597 , 09-02-2021 17:48:04
PPM , 0.890 , 0.766 , 0.602 , 3.200 , 11.439 , 2.587 , 09-02-2021 17:48:13
PPM , 0.890 , 0.767 , 0.604 , 3.218 , 11.526 , 2.604 , 09-02-2021 17:48:22
PPM , 0.890 , 0.768 , 0.606 , 3.226 , 11.514 , 2.611 , 09-02-2021 17:48:32
PPM , 0.890 , 0.768 , 0.605 , 3.211 , 11.510 , 2.597 , 09-02-2021 17:48:41
PPM , 0.890 , 0.768 , 0.606 , 3.193 , 11.447 , 2.580 , 09-02-2021 17:48:51
PPM , 0.889 , 0.767 , 0.604 , 3.171 , 11.412 , 2.558 , 09-02-2021 17:49:00
PPM , 0.890 , 0.772 , 0.612 , 3.215 , 11.518 , 2.601 , 09-02-2021 17:49:09
PPM , 0.890 , 0.770 , 0.608 , 3.200 , 11.479 , 2.587 , 09-02-2021 17:49:18
PPM , 0.890 , 0.772 , 0.612 , 3.233 , 11.514 , 2.619 , 09-02-2021 17:49:28
PPM , 1.169 , 8.047 , 52.567 , 26.582 , 63.150 , 33.222 , 09-03-2021 07:59:36
PPM , 1.163 , 7.884 , 50.567 , 25.726 , 61.727 , 31.937 , 09-03-2021 07:59:46
PPM , 1.163 , 7.893 , 50.676 , 26.166 , 62.981 , 32.597 , 09-03-2021 07:59:59
PPM , 1.166 , 8.083 , 53.022 , 26.182 , 62.746 , 32.620 , 09-03-2021 08:00:09
PPM , 1.165 , 8.017 , 52.200 , 25.923 , 62.746 , 32.232 , 09-03-2021 08:00:18
